機能ID,項目,画面 / コンポーネント,含まれる機能,デザ指示,機能詳細,フロント,バック,path / para,関連画面,業務パターン,機能区分,可能なアクション,主要な表示情報,対象ユーザー,備考
1,アカウント認証,画面,ログイン,完了,完了,テスト中,テスト中,/?mode=sign_in,,,,,,,
2,,,新規会員登録,完了,完了,テスト中,テスト中,/?mode=sign_up,,,,,,,
3,,,パスワード再設定メール送信,完了,完了,レビュー,テスト中,/?mode=reset_pw,,,,,,,
4,,,認証メール送信,完了,完了,レビュー,テスト中,/confirm,,,,,,,
5,パスワード再設定,画面,パスワード再設定,完了,完了,テスト中,テスト中,/reset_pw,,,,,,,
6,アカウント情報変更,画面,パスワード再設定,完了,完了,テスト中,テスト中,/mypage,,,,,,,
7,,,メールアドレス再設定,完了,完了,テスト中,テスト中,/mypage,,,,,,,
8,企業情報,画面,企業情報_新規作成,完了,完了,テスト中,修正,/facility,,,,,,,
9,,,企業情報_編集,完了,完了,テスト中,テスト中,/facility,,,,,,,
10,原稿_一覧 / 詳細,画面,年間行事メニュー表示,完了,完了,レビュー,レビュー,/design,,,,,,,
11,,,選択された行事の原稿3種表示,完了,完了,レビュー,レビュー,/design,,,,,,,
12,,,サイズ毎の原稿表示,完了,完了,レビュー,レビュー,/design,,,,,,,
13,,,行事情報編集,完了,完了,レビュー,レビュー,/design,,,,,,,
14,,,原稿生成,完了,完了,未着手,未着手,,,,,,,,
15,,,再生成,完了,完了,未着手,未着手,/design,,,,,,,
16,,,デザイン評価,完了,完了,レビュー,レビュー,/design,,,,,,,
17,,,原稿ダウンロード,完了,完了,レビュー,レビュー,/design,,,,,,,
18,共通印刷物_一覧,画面,一覧表示,完了,協議中,未着手,未着手,/common_print,,,,,,,
19,,,ダウンロード,完了,協議中,未着手,未着手,/common_print,,,,,,,
20,ノベルティ_一覧,画面,一覧表示,完了,協議中,レビュー,レビュー,/novelty,,,,,,,
21,行事新規作成 / 編集ポップアップ,コンポーネント,テンプレ読み込み,完了,完了,未着手,未着手,,,,,,,,
22,,,参考イメージ表示,完了,完了,未着手,未着手,,,,,,,,
23,,,保存,完了,協議中,未着手,未着手,,,,,,,,
24,サイドメニュー,コンポーネント,年度切り替え,完了,完了,テスト中,レビュー,,,,,,,,
25,,,メニュー項目一覧,完了,完了,テスト中,テスト中,,,,,,,,
26,,,企業情報,完了,完了,テスト中,テスト中,,,,,,,,
27,,,アカウント情報,完了,完了,テスト中,レビュー,,,,,,,,
28,,,ログアウト,完了,完了,テスト中,テスト中,,,,,,,,
29,一覧メニュー,コンポーネント,共通印刷物一覧,着手中,協議中,未着手,未着手,,,,,,,,
30,,,企業ノベルティ一覧,着手中,協議中,未着手,未着手,,,,,,,,
31,削除ポップアップ,コンポーネント,削除,完了,完了,テスト中,レビュー,,,,,,,,
32,規約等,画面,利用規約,完了,完了,テスト中,テスト中,/info?mode=leagal,,,,,,,
33,,,プライバシーポリシー,完了,完了,テスト中,テスト中,/info?mode=privacy_polisy,,,,,,,
34,,,会社概要,完了,完了,未着手,未着手,/info?mode=company,,,,,,,
35,ログ管理,画面,年切り替え,完了,完了,レビュー,レビュー,/admin_log,,,,,,,
36,,,月一覧表示,完了,完了,レビュー,レビュー,/admin_log,,,,,,,
37,,,CSVダウンロード,完了,完了,レビュー,未着手,/admin_log,,,,,,,
38,業界 / 行事テンプレート管理,画面,一覧表示,完了,完了,未着手,未着手,/admin_temp,,,,,,,
39,,,絞り込み,完了,完了,未着手,未着手,/admin_temp,,,,,,,
40,,,新規作成,完了,完了,未着手,未着手,/admin_temp,,,,,,,
41,,,編集,完了,完了,未着手,未着手,/admin_temp,,,,,,,
42,,,削除,完了,完了,未着手,未着手,/admin_temp,,,,,,,
43,デザインテンプレート管理,画面,一覧表示,完了,完了,未着手,未着手,,,,,,,,
44,,,新規作成,完了,完了,未着手,未着手,,,,,,,,
45,,,編集,完了,完了,未着手,未着手,,,,,,,,
46,,,削除,完了,完了,未着手,未着手,,,,,,,,
47,,,,,,,,,,,,,,,